Склад боеприпасов,bunker_room
Склад инструментов,bunker_room
Склад металлолома,bunker_room
Гараж с транспортом,bunker_room
Гараж без транспорта,bunker_room
Станция управления долгами,bunker_room
Карцер,bunker_room
Тюремная клетка,bunker_room
Химическая лаборатория,bunker_room
Операционная,bunker_room
Комната собраний,bunker_room
Медицинский отсек,bunker_room
Оружейная мастерская,bunker_room
Комната хранения оружия,bunker_room
Отсек с топливными баками,bunker_room
Генераторная,bunker_room
Серверная,bunker_room
Морозильная комната,bunker_room
Пост охранника,bunker_room
Комната управления камерами,bunker_room
Комната с банковскими ячейками,bunker_room
Комната стримера,bunker_room
Склад игрушек,bunker_room
Животный уголок,bunker_room
Гидропонная ферма,bunker_room
Теплица,bunker_room
Грибная ферма,bunker_room
Кабинет психолога/сексолога,bunker_room
Молитвенная комната с иконами,bunker_room
Комната с сейфами с ценными бумагами/драгоценностями,bunker_room
Кабинет врача,bunker_room
Подпольный клуб,bunker_room
Тренажерный зал,bunker_room
Комната управления спутниками,bunker_room
Бойцовский зал,bunker_room
Кухня,bunker_room
Мастерская,bunker_room
Склад древесины,bunker_room
Водоочистительная станция,bunker_room
Склад пиротехники,bunker_room
Станция переработки биоотходов,bunker_room
Аккумуляторная,bunker_room
Не имеется,bunker_room
Склад стройматериалов,bunker_room
Загон для животных,bunker_room
Маленькие будки для куриц и т.д,bunker_room
Склад с кормом для животных,bunker_room
Комната с 3д принтером,bunker_room
Большой аквариум с рыбами,bunker_room
Склад хим.веществ,bunker_room
Бассейн,bunker_room
Инкубаторная,bunker_room
Склад одежды,bunker_room
Склад электроники,bunker_room
Синтезатор топлива из биоматериалов,bunker_room
Библиотека,bunker_room
Комната пыток,bunker_room
Лаборатория для исследования вирусов,bunker_room
Комната с промышленными станками,bunker_room
Комната санитарной обработки,bunker_room
Комната с климат контролем,bunker_room
Геологическая лаборатория,bunker_room
Вход в шахту,bunker_room
Генетическая лаборатория,bunker_room
Комната переработки вторичных отходов,bunker_room
Экстренная комната с запасом еды на неделю,bunker_room
Грядки и лампы для выращивания,bunker_room
Дополнительный склад продовольствия,bunker_room
Склад с коллекцией семян,bunker_room
Кислородный генератор,bunker_room
Кузница,bunker_room
Библиотека,bunker_room
Комната отдыха,bunker_room
Игровая комната с автоматами,bunker_room
Экстренный электрический генератор,bunker_room
Система сбора и очистки дождевой воды,bunker_room
Картинная галерея,bunker_room
Музей,bunker_room
Морг,bunker_room
Склад документов,bunker_room
Оружейный склад,bunker_room
Салад провизии,bunker_room
Ботанический сад,bunker_room
Швейная мастерская,bunker_room
Комната очистки воды,bunker_room
Комната очистки кислорода,bunker_room
Штаб,bunker_room
Гримёрка,bunker_room
Гараж,bunker_room
Автомастерская,bunker_room
Галерея,bunker_room
Библиотека,bunker_room
Радиорубка,bunker_room
Баня,bunker_room
Картотека,bunker_room
Чердак с лестницей,bunker_room
Подвал,bunker_room
Веранда,bunker_room
